country_name	country_iso3_code	population_2015	population_2020
Sri Lanka	LKA	20970000	21919000
St. Kitts and Nevis	KNA	51204	53192
St. Lucia	LCA	179131	183629
St. Martin (French part)	MAF	35865	38659
St. Vincent and the Grenadines	VCT	109135	110947
Sudan	SDN	38902948	43849269
Suriname	SUR	559136	586634
Sweden	SWE	9799186	10353442
Switzerland	CHE	8282396	8636561
Syrian Arab Republic	SYR	17997411	17500657
Tajikistan	TJK	8454019	9537642
Tanzania	TZA	51482638	59734213
Thailand	THA	68714519	69799978
Timor-Leste	TLS	1196294	1318442
Togo	TGO	7323162	8278737
Tonga	TON	100780	105697
Trinidad and Tobago	TTO	1370332	1399491
Tunisia	TUN	11179951	11818618
Turkiye	TUR	78529413	84339067
Turkmenistan	TKM	5565283	6031187
Turks and Caicos Islands	TCA	35979	38718
Tuvalu	TUV	11099	11792
Uganda	UGA	38225447	45741000
Ukraine	UKR	45154036	44132049
United Arab Emirates	ARE	9262896	9890400
United Kingdom	GBR	65116219	67081000
United States	USA	320738994	331501080
Uruguay	URY	3412013	3473727
Uzbekistan	UZB	31298900	34232050
Vanuatu	VUT	271128	307150
Venezuela, RB	VEN	30081827	28435943
Vietnam	VNM	92677082	97338583
Virgin Islands (U.S.)	VIR	107712	106290
West Bank and Gaza	PSE	4270092	4803269
Yemen, Rep.	YEM	26497881	29825968
Zambia	ZMB	15879370	18383956
Zimbabwe	ZWE	13814642	14862927
