"iso3"	"milex_usd_2021"	"country_name"	"gdp_2015"	"gdp_2020"	"population_2015"	"population_2020"	"gdppc_2020"	"high_income_2020"
"FJI"	70.47624799	"Fiji"	4682546863.08	4574413823.31	868632	896444	5102.84392924711	0
"FRA"	56646.99622	"France"	2439188643162.5	2630317731455.26	66548272	67379908	39037.1226309074	1
"FRO"		"Faroe Islands"	2561824640.68	3240759988.99	48055	48865	66320.6791975852	1
"FSM"		"Micronesia, Fed. Sts."	316489900	407515927.98	108886	115021	3542.96978795177	0
"GAB"	311.4549286	"Gabon"	14383107714.04	15316824039.33	1947690	2225728	6881.71422533661	0
"GBR"	68366.44055	"United Kingdom"	2956573778737.76	2756900214107.32	65116219	67081000	41098.0786527828	1
"GEO"	302.1441889	"Georgia"	14953950557.44	15842922532.72	3725276	3722716	4255.74299321248	0
"GHA"	298.3454331	"Ghana"	49406568432.67	70043199813.69	27849203	31072945	2254.15388897608	0
"GIB"		"Gibraltar"			33742	33691		
"GIN"	244.5585904	"Guinea"	8794202443.67	14169626010.12	11432096	13132792	1078.95000622259	0
"GMB"	14.70639281	"Gambia, The"	1378176868.32	1830412999.96	2085860	2416664	757.413111611709	0
"GNB"	26.33935895	"Guinea-Bissau"	1048229629.42	1431758242.9	1737207	1967998	727.520171717654	0
"GNQ"	170.1806604	"Equatorial Guinea"	13185496836.41	10099157269.8	1168575	1402985	7198.3358837051	0
"GRC"	8079.943236	"Greece"	195683527003.38	188835201625.91	10820883	10700556	17647.2326882743	1
"GRD"		"Grenada"	997007925.93	1043411111.11	109603	112519	9273.19929176406	0
"GRL"		"Greenland"	2499115623	3075968328.7	56114	56367	54570.3750190714	1
"GTM"	341.7808219	"Guatemala"	62186186575.74	77604632620.65	15567419	16858333	4603.33964340662	0
"GUM"		"Guam"	5.799e+09	5.844e+09	161851	168783	34624.3401290414	1
"GUY"	70.70365165	"Guyana"	4279840193.7	5471256594.72	767433	786559	6955.93921717252	0
"HKG"		"Hong Kong SAR, China"	309383627028.56	344881400505.34	7291300	7481000	46100.9758729234	1
"HND"	438.108692	"Honduras"	20979767785.21	23827840809.7	9112904	9904608	2405.73284775127	0
"HRV"	1739.751845	"Croatia"	50163192883.15	57203783203.03	4203604	4047680	14132.486560951	1
"HTI"	20.9120674	"Haiti"	14833154471.75	14508218017.4	10695540	11402533	1272.36799204177	0
"HUN"	2777.132531	"Hungary"	125210324613.14	156743134665.96	9843028	9750149	16075.9732662506	1
"IDN"	8259.275725	"Indonesia"	860854235065.08	1058688935454.78	258383257	273523621	3870.55761979248	0
"IMN"		"Isle of Man"	7085288006.11		83232	85032		
"IND"	76598.03118	"India"	2103587813812.75	2667687951796.56	1310152392	1380004385	1933.1010689481	0
"IRL"	1267.738884	"Ireland"	291580037584.33	425888950992	4701957	4985674	85422.542868226	1
"IRN"	24589.09155	"Iran, Islamic Rep."	408212918053.94	231547571240.47	78492208	83992953	2756.74997687568	0
"IRQ"	4728.165568	"Iraq"	166774109673.73	184369797315.44	35572269	40222503	4583.74749367139	0
"ISL"	0	"Iceland"	17517210519.09	21718075725.21	330815	366463	59264.0340913271	1
