"iso3"	"milex_usd_1983"	"milex_usd_1984"	"milex_usd_1985"	"milex_usd_1986"	"milex_usd_1987"	"milex_usd_1988"	"milex_usd_1989"	"milex_usd_1990"	"milex_usd_1991"	"milex_usd_1992"	"milex_usd_1993"	"milex_usd_1994"	"milex_usd_1995"	"milex_usd_1996"	"milex_usd_1997"	"milex_usd_1998"	"milex_usd_1999"	"milex_usd_2000"	"milex_usd_2001"	"milex_usd_2002"	"milex_usd_2003"	"milex_usd_2004"	"milex_usd_2005"	"milex_usd_2006"	"milex_usd_2007"	"milex_usd_2008"	"milex_usd_2009"	"milex_usd_2010"	"milex_usd_2011"	"milex_usd_2012"	"milex_usd_2013"	"milex_usd_2014"	"milex_usd_2015"	"milex_usd_2016"	"milex_usd_2017"	"milex_usd_2018"	"milex_usd_2019"	"milex_usd_2020"	"milex_usd_2021"	"country_name"	"gdp_2015"	"gdp_2020"	"population_2015"	"population_2020"	"gdppc_2020"	"high_income_2020"
"DZA"	952.4306716	929.2908213	953.2996539	1127.103217	1196.971384	1028.611425	854.3009453	904.2691552	565.0980626	1053.301643	1276.911083	1334.911648	1234.655192	1452.431008	1752.395278	1910.962052	1826.49657	1881.163649	2091.627274	2100.602521	2206.395762	2802.224794	2924.820167	3093.978245	3945.815125	5172.336907	5280.588156	5671.309117	8652.23704	9326.287144	10161.58824	9724.379972	10412.714	10217.0817	10073.36402	9583.724288	10303.60058	9708.27744	9112.461105	"Algeria"	165979279263.17	145009181490.62	39728020	43851043	3306.85820838104	0
"ECU"	200	193	284	207	207	198	189	202	209	211	276	291	475	419	499	549	296	266	384	505	739	710	954	950	1310	1646	1949	2094	2453.7	2589.776	2735.825	2786.519	2597.51	2513.2	2462.7	2549.4	2346	2356.3	2417	"Ecuador"	99290381000	99291124000	16212022	17643060	5627.77227986528	0
"EGY"	3004.281422	3742.137511	4203.565423	4727.136104	4805.70742	4453.565066	3516.344801	2260.645161	1345.757343	1415.819974	1526.165392	1714.409786	1948.876986	2115.742979	2267.650314	2372.048406	2447.978794	2627.698334	2834.25623	2902.768425	2383.914898	2369.743586	2659.439714	2952.520159	3306.908257	3779.88035	4017.404478	4407.286453	4463.974191	4557.748767	4359.834244	5085.121576	5475.490833	4513.022527	2765.588434	3119.587364	3743.671452	4505.374644	5165.445627	"Egypt, Arab Rep."	329366576819.41	365252651278.85	92442549	102334403	3569.20684121106	0
"ESP"	4770.965313	4851.949869	5077.574145	6270.618789	7921.508651	8900.414227	9302.930296	11695.03864	11680.26375	12250.19543	10041.51135	10092.67126	11439.90627	11294.31685	9865.892241	10333.41723	11113.72249	10273.77925	10222.07408	10270.83902	12880.5328	15262.45864	15997.72422	17252.21761	20065.66863	22227.72183	20178.27498	19710.78545	19695.43549	18860.62336	17242.95932	17178.54931	15187.16868	14014.43964	16043.53326	17823.27113	17189.3193	17431.77932	19544.46547	"Spain"	1195599995808.59	1281484640043.58	46444832	47363419	27056.4217512165	1
"EST"										0	13.14655988	25.13573538	36.34348758	41.43660771	53.03165218	59.91984748	73.80054132	78.31330856	93.8185399	122.0695307	171.4119239	204.9681802	204.517021	236.3244492	371.9745474	429.6626989	353.3665766	332.180157	389.2375809	436.8529116	479.3144608	512.1190451	463.5688145	497.6534043	537.4402269	614.9451743	637.0353784	718.1123903	763.9545885	"Estonia"	22890762090.15	30650285471.72	1315407	1329479	23054.3584905967	1
"ETH"	408.4057971	423.0193237	429.4444444	439.2028986	476.6183575	614.8550725	781.5217391	785.0483092	529.0338164	255.3434434	163.85	148.6916743	122.4601475	126.4547332	225.4171051	458.5499254	703.7048695	617.5416136	349.8082765	288.9323335	278.6731599	311.038749	342.0666387	345.687017	360.1403086	388.1875967	339.627768	303.6170331	332.4417724	366.5390177	345.0641658	414.4760258	442.5326245	490.1772485	513.8274524	516.9770762	535.9780182	504.0660883	487.8486101	"Ethiopia"	64589334978.8	107657734392.45	100835453	114963583	936.450757562506	0
"FIN"	905.1889315	826.0701813	911.3496609	1223.271001	1462.231547	1704.33062	1766.586166	2141.300984	2200.991549	2075.95555	1615.424809	1756.338984	1908.986807	2021.797095	1947.00259	1959.708814	1653.905119	1558.13525	1479.270879	1611.406522	2475.059743	2892.938124	2999.391049	3128.517474	3296.55775	3958.118334	3940.584835	3717.180505	4099.505807	3943.239958	4161.139945	3985.508352	3399.134967	3415.00825	3431.090217	3756.949117	3629.646216	4087.54132	5903.500473	"Finland"	234534382384.77	271836962949.42	5479531	5529543	49160.8371522601	1
"FJI"	15.10294783	15.60133013	14.00892896	14.59125937	25.13144566	24.67383553	29.08321142	30.54203159	32.48258288	30.53912534	32.04109562	33.66527334	34.70024816	32.85113661	30.96254018	22.59892693	23.81169972	32.03953735	32.81165582	30.91430427	37.29689808	46.79881128	43.11135029	54.06716806	75.5769183	53.58565862	51.28572232	50.40895371	60.78552747	59.22151641	58.1082769	74.78794113	42.6175576	54.411608	75.27655501	81.37831357	79.02219898	72.18423278	70.47624799	"Fiji"	4682546863.08	4574413823.31	868632	896444	5102.84392924711	0
"FRA"	18188.52027	16977.86645	17455.15146	23901.44014	29280.47021	30327.27074	29665.45434	35774.43032	35869.12092	37902.26982	35775.27329	37288.60606	40124.02414	38977.7341	34697.9041	33633.56128	32672.71428	28403.13895	27951.56638	30578.39893	38569.11581	44524.57961	44442.05052	45792.14842	50684.46738	55365.96584	56441.4554	52044.06057	54120.87101	50216.5074	52001.46245	53134.7509	45647.47164	47370.58955	49195.66225	51409.81284	50118.92921	52747.06486	56646.99622	"France"	2439188643162.5	2630317731455.26	66548272	67379908	39037.1226309074	1
"FRO"																																								"Faroe Islands"	2561824640.68	3240759988.99	48055	48865	66320.6791975852	1
"FSM"																																								"Micronesia, Fed. Sts."	316489900	407515927.98	108886	115021	3542.96978795177	0
"GAB"	86.5991718	80.32827029	95.48972428	136.0068841														91.2952122	90.03613723	94.69316545	108.3964212	125.1218566	118.1114305	130.2377173	0	0	0	268.7385039	265.9653376	278.1439571	282.1633876	208.1247733	170.3745033	202.8153907	267.4307708	261.2173951	266.8791961	263.4715971	311.4549286	"Gabon"	14383107714.04	15316824039.33	1947690	2225728	6881.71422533661	0
"GBR"	26423.1224	25418.83954	26031.88155	30432.57794	34921.75989	38357.23651	37456.64681	43545.09484	47045.45733	45592.59182	38113.20679	38569.0135	38294.28308	38566.13465	39889.94745	41222.12583	40760.40067	39343.71127	39512.57994	44245.266	52343.12228	60250.78254	61653.63504	64217.61953	73448.03201	72915.40767	64010.50667	63979.11197	66569.55257	65452.48755	63837.72486	66995.46865	59990.20572	53327.32763	51633.53922	55680.22821	56856.13307	60675.03963	68366.44055	"United Kingdom"	2956573778737.76	2756900214107.32	65116219	67081000	41098.0786527828	1
"GEO"														67.70668356	44.00770713	41.08445698	25.88267836	18.82429143	23.82996787	33.97580704	42.64740288	70.41974278	214.0714301	404.1720259	931.7505642	1090.160251	603.6552149	454.1782152	468.7796268	491.9825294	441.878927	415.6432109	299.5141763	315.1944463	321.1366446	333.9123818	310.6141285	287.8640777	302.1441889	"Georgia"	14953950557.44	15842922532.72	3725276	3722716	4255.74299321248	0
"GHA"	71.14828735	44.62448703	63.16277666	51.65092276	43.33847486	22.76042465	22.62696633	27.6125535	41.42718418	41.66399604	41.00432858	37.82325083	49.05432226	44.41781262	45.48331022	57.45308566	59.2777609	50.88260824	32.3521405	36.97548134	53.24402029	56.35384299	64.1965664	75.73260793	126.077789	113.6681602	118.2907439	122.4804685	234.3274796	337.2609727	254.9970574	252.6538337	190.540362	161.7518743	189.1298415	218.4442536	233.320137	239.8871643	298.3454331	"Ghana"	49406568432.67	70043199813.69	27849203	31072945	2254.15388897608	0
"GIN"									71.7641784	55.65404029	43.95650399	45.87174751			44.37018981	45.03448332	55.21118639	45.96793121	87.71839882	98.08486517	84.13394931	81.0185701								168.9133575	196.8187056	196.9455898	221.4142323	161.8567445	181.6377759	197.0795264	197.7543307	206.9928908	244.5585904	"Guinea"	8794202443.67	14169626010.12	11432096	13132792	1078.95000622259	0
"GMB"	0.72766688	0.84680502	1.244263419	1.046935943	1.392344227	2.161462759	2.722988351	3.464911112	3.996271673	3.501687892	2.556388668	2.316899696	2.886551708	3.929706231	4.176388698	4.049572023	3.519056437	3.323532172	2.4542302	2.259285664	1.997861937	1.9313955	2.985085073	2.786319244	4.54702614	17.16353346	7.095299575			11.17307986	10.37889069	14.59997028	14.28813191			11.48722494	14.4564462	14.80501593	14.70639281	"Gambia, The"	1378176868.32	1830412999.96	2085860	2416664	757.413111611709	0
"GNB"	18.0647552	6.465128712	4.652567483	6.128820138	3.883662224		4.434725155					2.016728765	2.211919911	1.897743657	1.817811122	2.900235951		9.531360608	6.183163515	6.363093769	7.505161734		12.11637483				13.7445837	17.12980817	17.51980435	24.49175068	21.71079265	21.47083121	17.03695729	15.73007847	19.02193535	21.19842949	22.57124231	23.30668845	26.33935895	"Guinea-Bissau"	1048229629.42	1431758242.9	1737207	1967998	727.520171717654	0
"GNQ"												2.379301339	3.447875179												196.3143717	292.7546588	371.9275879					166.5402705	137.2626596	139.2008176	136.2103614	149.49869	148.636933	162.3733644	170.1806604	"Equatorial Guinea"	13185496836.41	10099157269.8	1168575	1402985	7198.3358837051	0
"GRC"	2195.463586	1994.286405	1927.083076	1998.816951	2399.22505	2749.556829	2560.254614	3193.376484	3146.899035	3623.052915	3364.41333	3587.244914	4179.913247	4613.167577	4573.516492	4824.257169	5012.285642	4564.522446	4428.103552	4734.177215	5035.585542	6267.468787	7028.428593	7607.186182	8533.090258	10574.1385	10641.34818	8163.619387	7128.608267	5914.988423	5655.183036	5531.285909	4818.121326	4963.484464	5088.178883	5757.114361	5471.56292	5301.379232	8079.943236	"Greece"	195683527003.38	188835201625.91	10820883	10700556	17647.2326882743	1
"GRD"																																								"Grenada"	997007925.93	1043411111.11	109603	112519	9273.19929176406	0
"GRL"																																								"Greenland"	2499115623	3075968328.7	56114	56367	54570.3750190714	1
"GTM"	184.25	207.48	224.42	140.8533333	124.028	146.5883844	151.6270613	132.196105	119.3108605	153.7530243	144.4450754	153.0115454	158.3486575	141.3704629	132.1128326	139.8043677	123.7541652	157.8480928	196.7655775	158.3681193	178.771794	114.8933493	104.4676799	130.5469292	135.9258728	166.4940483	147.4105441	169.7988401	197.4331507	224.3665436	249.7578534	245.6728759	252.4554806	290.912704	275.0147985	273.1149768	331.8825516	342.766481	341.7808219	"Guatemala"	62186186575.74	77604632620.65	15567419	16858333	4603.33964340662	0
"GUM"																																								"Guam"	5.799e+09	5.844e+09	161851	168783	34624.3401290414	1
"GUY"	22.1	20.74084514	38.97127133	27.82966094	10.61929123	11.02	6.023830213	3.58932849	2.031374373	3.625349994	4.436526474	5.485552101	5.691560614	5.55834016				12.58564929	14.3710529	16.65224346	16.34533057	22.13223874	18.5065666	19.17697364	24.97195412	30.52059342	31.05565089	31.07505549	32.41674754	33.5426066	35.16348579	39.28096747	46.43050847	51.56213082	59.51089588	61.74546596	67.20693771	76.54183968	70.70365165	"Guyana"	4279840193.7	5471256594.72	767433	786559	6955.93921717252	0
"HKG"																																								"Hong Kong SAR, China"	309383627028.56	344881400505.34	7291300	7481000	46100.9758729234	1
"HND"	70	81	94	105.5	122.5	132	138	67.12094903	47.39808941		40.59286913							52.46239689	62.95197658	63.60217606	82.19517679	60.56178664	62.58927481	75.59591854	95.92434017	132.4284006	156.8025573	170.1869797	200.3584059	212.3412743	294.9177794	314.0719002	356.266321	363.2723385	398.4601284	385.3200642	407.3902578	350.3707906	438.108692	"Honduras"	20979767785.21	23827840809.7	9112904	9904608	2405.73284775127	0
"HRV"										782.0036613	1168.936759	1625.222365	2060.38893	1938.698897	1797.184681	1427.264827	1035.949008	659.7750333	629.4641038	733.6807391	709.3991472	730.8670045	799.1609012	849.4310347	978.8537321	1295.957074	1129.098496	1015.876654	1106.464042	955.3201636	956.9526441	1063.469743	883.1629833	836.6850421	920.8370529	966.3587168	1001.812141	1013.002721	1739.751845	"Croatia"	50163192883.15	57203783203.03	4203604	4047680	14132.486560951	1
"HTI"						1.9724	2.23155	2.6704	2.623227387	1.743605937	1.649639306	1.599966755	2.478871189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.159584748	5.35115951	7.356229689	6.451431661	7.361349246	13.96838816	11.30174895	26.38088478	20.9120674	"Haiti"	14833154471.75	14508218017.4	10695540	11402533	1272.36799204177	0
"HUN"	700.708442	641.1030303	1025.550984	765.8387898	823.9213975	1027.508668	812.6461282	847.3892469	722.5491534	812.0179672	735.8603856	757.1319893	612.1848171	585.2719018	695.9724609	618.46438	702.9424911	715.8576648	845.0556738	1079.154824	1401.561253	1532.612234	1596.087843	1410.071771	1776.464117	1867.877499	1475.818169	1350.820413	1472.069832	1322.277703	1280.050962	1209.80189	1132.476292	1288.676093	1463.013911	1791.545365	2051.055453	2771.214572	2777.132531	"Hungary"	125210324613.14	156743134665.96	9843028	9750149	16075.9732662506	1
"IDN"	2047.25795	2002.310077	1923.319347	1734.616704	1347.598625	1356.706413	1409.556738	1613.975396	1697.029205	1887.635966	1933.304585	2239.731575	2478.753541	2874.845238	3231.358571	972.7021251	1135.147005	1129.54284	919.0226978	1369.857129	2134.746704	2428.947795	2146.270791	2611.875117	3348.758342	3232.202215	3304.459138	4663.365759	5838.026186	6531.097955	8384.028601	6929.248704	7595.030528	7396.626075	8797.52845	7493.744633	8154.244768	9386.956718	8259.275725	"Indonesia"	860854235065.08	1058688935454.78	258383257	273523621	3870.55761979248	0
"IND"	6830.768698	6956.682449	7567.02402	9539.363086	10877.40616	11346.41915	10589.79692	10537.03545	8622.473881	8083.23141	8253.542581	8880.551226	9754.46463	9904.672736	11464.88339	11920.61082	13895.56246	14287.51424	14600.64235	14749.66725	16333.98664	20238.56653	23072.31293	23951.92796	28254.77345	33002.37673	38722.15439	46090.44566	49633.81579	47216.92005	47403.5288	50914.09628	51295.48375	56637.62264	64559.43528	66257.80172	71468.90052	72937.06405	76598.03118	"India"	2103587813812.75	2667687951796.56	1310152392	1380004385	1933.1010689481	0
"IRL"	310.2580917	284.2752262	301.495819	409.0811782	435.3789904	453.486447	434.222056	594.0060104	624.9326581	674.0350445	597.7237656	633.6993791	702.0397031	750.9872458	765.3055133	742.4021532	741.5086078	694.6747743	767.7783644	811.2559409	965.199981	1101.860647	1144.978361	1190.379117	1372.22537	1582.890834	1415.725373	1274.228688	1300.331547	1157.53173	1195.763444	1192.733691	997.005656	1001.610418	1025.063447	1107.137377	1112.740708	1144.420381	1267.738884	"Ireland"	291580037584.33	425888950992	4701957	4985674	85422.542868226	1
"IRN"	10550.35729	9926.303622	10706.41594	11741.43334	15263.37657	18889.00856	16301.81293	16474.4017	17549.59483	19732.55802	1448.177703	1703.171536	2501.54419	3550.986964	4642.384616	5479.362942	6650.285144	8327.053824	10378.79177	3243.891033	3717.06845	5243.621133	6796.744965	8751.474767	9330.901882	11081.95021	12584.62334	13561.27245	14277.66736	16493.96329	11997.18698	9901.118855	10588.76967	12263.95741	13931.19649	11230.85229	12528.45021	15825.14312	24589.09155	"Iran, Islamic Rep."	408212918053.94	231547571240.47	78492208	83992953	2756.74997687568	0
"IRQ"																						613.7248696	1120.278533	1236.081013	1989.948747	3116.30402	3237.179487	3752.905983	4278.632479	4141.066054	7780.188679	6923.644082	9604.231011	5970.383698	7416.385135	6317.97715	7598.829336	5649.373637	4728.165568	"Iraq"	166774109673.73	184369797315.44	35572269	40222503	4583.74749367139	0
"ISL"						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Iceland"	17517210519.09	21718075725.21	330815	366463	59264.0340913271	1
"ISR"	4265.358582	4214.300331	4004.517114	4386.224325	5995.553855	6999.574985	5550.71026	6528.767331	9337.649895	7313.38839	7752.8067	7772.187268	7945.97152	8499.441747	8580.69753	8095.647853	7652.604037	8327.543753	8504.274012	7981.518926	8225.281206	8605.125436	8921.942198	9315.253568	11382.20288	13803.7135	12754.23793	13875.2116	15100.06621	14524.41959	16247.82594	17737.37571	16457.09875	17434.5586	19357.00246	19899.81904	20339.22559	21816.56977	24340.97954	"Israel"	300078278118.43	407100736594.06	8380100	9215100	44177.571224844	1
"ITA"	8409.527116	8296.144788	8253.390533	11941.80916	15653.0659	17403.66479	17675.48654	20734.62558	21585.70677	22177.09039	18242.0139	18062.45908	17185.853	20793.12883	20156.10226	20825.12535	21016.45691	19878.72093	19519.38148	21610.05976	26824.21329	30261.07665	29737.64239	29633.02226	31982.43179	36839.98975	34054.48132	32020.81995	33828.80497	29781.00821	29957.4459	27701.03433	22180.84507	25033.02789	26447.89292	28420.09844	26380.67398	28921.34276	32006.13765	"Italy"	1836637711060.55	1892574064222.11	60730582	59449527	31834.9726184047	1
"JAM"	50.16250737	25.15344425	18.71437926	23.52208813	25.32501499	30.93257782	40.9338096	38.60994456	31.89197666	47.19232763	44.54257954	34.21850395	35.29882961	41.79126391	54.85460888	47.64021888	45.13107175	43.56623249	46.37438229	56.8981471	54.84587182	54.53313223	59.32977632	72.64552301	83.5119421	130.6991707	114.8083318	115.571396	133.6385598	137.6355057	128.431323	121.3102435	123.8541357	137.6490618	143.5455554	209.6758209	266.0150745	236.8656716	209.8170122	"Jamaica"	14188935947.57	13812425036.59	2891024	2961161	4664.53024222256	0
"JOR"	484.7429898	457.7789916	501.7421603	625.7750753	647.0503074	587.7763885	382.8910362	322.4290054	433.2717451	367.7454848	391.1374884	407.8630267	299.8385155	417.4894217	444.2877292	496.4739069	511.9887165	529.3370945	528.9266456	521.8617772	611.8476728	586.74189	603.6671368	701.551481	1032.440056	1358.38358	1568.309859	1557.887324	1594.788732	1472.816901	1444.929577	1548.873239	1614.929577	1769.43662	1939.71831	1957.746479	2032.112676	2055.915493	2176.760563	"Jordan"	38587017887.32	43697659295.77	9266573	10203140	4282.76582461576	0
"JPN"	11429.31726	12225.0781	13087.75195	19457.33444	23642.2907	28216.10275	27966.35354	28800.45168	32785.41575	35999.12358	41353.93622	45285.59408	49961.67324	44047.10468	40634.84061	37849.01264	43122.8985	45509.67383	40757.96723	39333.70817	42486.17736	45339.80941	44300.61333	41552.59289	40530.04569	46361.46828	51465.15821	54655.45074	60762.21384	60011.53019	49023.93241	46903.46661	42106.10331	46471.28771	45058.46876	48535.90941	50970.70235	51970.83095	54123.5517	"Japan"	4444930651964.18	5040107754084.11	127141000	126261000	39918.1675583443	1
"KAZ"											0	106.926893	177.6866284	241.7712059	236.7522784	242.6462231	143.9053571	143.5275411	221.4862065	245.9567194	317.5643151	426.4417246	591.9852498	793.0271475	1359.776099	1540.810813	1271.890276	1501.815344	1803.970782	2177.543205	2551.124375	2306.468865	0	1281.103432	1390.619095	1498.378533	1853.499709	1548.175775	1617.793375	"Kazakhstan"	184388432148.72	171082379532.99	17542806	18755666	9121.63713797153	0
"KEN"	208.6917327	175.004683	145.7817321	181.2556623	249.8100823	250.9424075	228.606149	246.4564386	191.9085063	156.036602	105.7045273	117.3314826	149.0964383	170.8048163	175.8348969	171.9640133	151.9177774	165.5847352	195.3650055	213.894508	245.9386638	259.8078407	316.7994854	375.8072032	494.6848967	580.0119407	578.0716724	622.0498478	646.6781067	840.07259	860.5608961	819.0426268	843.6678028	933.1030025	1015.384782	1113.648362	1116.87242	1115.32177	1113.287247	"Kenya"	70120413328.78	100666542665.72	47878339	53771300	1872.1240264922	0
"KGZ"										0	0	12.08695361	26.71256896	28.27695635	31.1587977	26.0923043	23.13317947	25.79415581	22.21206721	25.93337839	32.60311203	37.23835812	39.7182887	47.20703673	50.9095871	61.12432193	67.21374735	77.23799231	86.42338641	107.5298429	119.0006139	127.9710888	117.0032781	115.6453118	121.5158054	127.1483467	128.9434518	131.1044087	124.8522012	"Kyrgyz Republic"	6678178340.45	7780874536.66	5956900	6579900	1182.5217004301	0
"KHM"				0	0	0	0	29.09090909	43.29468366	62.29373589	44.62625511	107.258619	123.1011535	113.5636109	103.4196012	83.32398609	88.17200348	81.02584131	70.84694089	65.1827161	67.52522443	69.21879863	70.95907147	75.88131359	79.01542588	82.63072343	136.589738	167.857928	192.1594185	217.3057277	243.4701099	277.9740681	325.1880623	382.2052604	458.2627979	543.2046891	595.4076177	646.9741333	643.3795077	"Cambodia"	18049954289.42	25872798012.19	15521435	16718971	1547.51138764401	0
"KIR"																																								"Kiribati"	170291001.98	180911843.64	110927	119446	1514.59105905597	0
"KNA"																																								"St. Kitts and Nevis"	958407222.22	980905888.89	51204	53192	18440.8536789367	1
"KOR"	4714.159753	4759.446931	4883.795775	5325.292074	6040.845305	7732.395676	9468.974884	10110.71487	10956.52435	11614.6652	12377.42487	13519.26576	16085.09568	16408.66527	14848.48453	10457.95753	12095.18682	13801.10702	12941.85083	14101.70331	15847.04727	17829.86414	22159.51256	25177.23774	27726.12959	26072.41051	24575.66194	28175.18122	30991.70795	31951.76081	34311.22072	37552.29895	36570.76932	36885.28343	39170.68214	43069.97334	43890.86199	45523.98471	50226.94887	"Korea, Rep."	1465773245547.15	1637895802792.9	51014947	51836239	31597.5046490719	1
"KWT"	1425.49841	1465.909168	1379.86986	1295.617612	1336.740077	1704.123944	2076.390756	8961.536461	12924.37797	6316.012045	2980.065532	3296.055513	3692.435533	3241.385529	2454.268845	2282.153592	2286.352512	2697.075596	2685.735278	2821.521878	3130.746413	3450.118765	3509.417808	3597.816498	4115.736734	4430.342077	4208.871206	4335.204653	5393.526319	5941.536637	5697.937802	5832.10342	5735.13289	6446.742131	6764.636914	7165.27906	7373.519737	6941.042345	9024.335548	"Kuwait"	114567298105.68	105960225688.15	3835588	4270563	24811.7697100242	1
"LAO"										102.2926113	107.6439791	116.1053804	103.7045322	78.44546601	67.06455658	33.35021056	15.38294739	13.7176646	12.57457078	11.43561747	11.0133409	11.49696752	11.96598844	13.41056506	14.83886554	16.26788896	13.97361453	15.35640295	19.0098206	20.32715766	22.67771312									"Lao PDR"	14426381187.09	18981800705.08	6741160	7275556	2608.98283307558	0
"LBN"	492.4726766	474.5749176	227.2035086	148.2933237	36.99976847	39.31774308		214.3610387	229.469731	442.7863311	452.9792806	637.4734386	746.2640541	735.6310136	678.1642795	693.8718975	829.6636248	930.0165837	958.5406302	907.4626866	923.3830846	954.5605307	962.5207297	1008.955224	1152.238806	1169.485904	1426.202322	1585.406302	1626.533997	1757.21393	1935.718241	2270.06596	2239.416094	2606.456908	2441.074857	2775.557816	2521.246648	1921.393035		"Lebanon"	49929337837.08	25948915861.2	6532681	6825442	3801.79274268245	0
"LBR"	38.75	24.95	25.15	24.35	22.25	25			25	22.65	30.45	39.3										4.525	6.467	3.9005	2.882	4.895	6.7395	8.982	12.5405	15.179	15.1115	14.531	14.799	14.712	13.3355	13.229	12.901	12.1235	14.0485	"Liberia"	3227075700	3039982540	4472229	5057677	601.063005802862	0
"LBY"															1251.990817	1443.621758	1153.487088	1085.534665	819.7479936	452.5136148	541.4017665	685.0732201	690.9307693	614.3562962	639.1370462	1100.068652				2987.413408	3964.690154	3755.652496								"Libya"	48717854039.97	52320215472.09	6418315	6871287	7614.32544908836	0
"LCA"																																								"St. Lucia"	1808079888.89	1616772748.15	179131	183629	8804.56108866247	0
"LKA"	45.95258536	55.75079998	188.9473025	172.7432693	226.6995419	165.4866255	125.6827872	187.0234057	277.3890238	326.7654736	354.7851712	437.0324051	763.6639637	767.1055917	698.7927709	733.4356347	631.0141501	822.1273656	675.016502	571.6579502	541.6955896	619.3054924	644.2118251	791.4910407	1054.81681	1511.363007	1522.232372	1532.026109	1751.910641	1474.902628	1600.84141	1914.59122	2057.866407	1741.45665	1866.534439	1638.914327	1560.094459	1529.361955	1563.052164	"Sri Lanka"	80604080688.58	80969683537.45	20970000	21919000	3694.04094791961	0
"LSO"	14.06965263	12.28580337	10.66779739	13.36962753	18.11122626	16.95645863	22.61045953	24.16593232	22.30817145	24.2372923	22.14068439	25.85332883	34.37328547	28.34730831	28.70033594	27.80702135	34.07818669	30.55550352	23.39072943	19.5598964	27.36375954	31.3869551	33.61989392	35.22457931	39.83467156	27.35068186	47.39976893	70.66103737	58.16932075	53.24014582	47.94118317	47.69339603	44.02592625	41.48954336	52.59481037	51.06434775	44.84596746	38.61883653	37.04405495	"Lesotho"	2359759799.04	2250717718.47	2059011	2142252	1050.63163365935	0
"LTU"											20.76976377	21.06227138	30.4536125	42.26	75.611	138.175	106.45	140.4	166.875	181.4814412	210.8224132	270.8417998	303.8190064	351.6057888	442.0044933	541.3901946	404.8260287	326.3209187	344.6052154	328.6316816	354.8621497	426.9136954	471.2210269	635.4481024	812.106965	1056.383745	1093.819973	1174.056765	1240.539262	"Lithuania"	41435533340.39	56546957475.49	2904910	2794885	20232.3020358584	1
"LUX"	37.17802884	34.92875785	34.43311808	48.29750624	66.08782736	77.71066352	68.62808055	87.35571155	97.33405222	111.3206765	97.65306971	113.8345735	128.5217643	127.8338843	121.1306064	129.3194412	127.052872	115.6987271	144.7122216	138.5931695	179.4592624	212.0179594	220.2108967	223.272213	258.4327972	213.8645768	201.4328124	247.6673576	232.1524143	214.5718713	233.6823964	252.0794231	249.5286681	235.5559447	323.1380293	355.275427	386.2516794	405.7904936	460.0283822	"Luxembourg"	60071584216.14	73353132793.71	569604	630419	116356.158037289	1
"LVA"											17.69150797	33.90034804	43.56033106	38.15493456	37.98831315	42.1801665	56.56862639	69.99068336	86.9667411	147.2248402	189.1442514	229.3533225	272.5511158	367.8254904	481.4926271	581.7522729	363.8092511	259.6721242	296.8349292	255.7403426	283.5689327	295.7289653	282.6882555	404.5524522	482.4619991	709.3705369	691.8943126	742.04947	826.6319773	"Latvia"	27263090547.06	33645460617.24	1977527	1900449	17703.9534432337	1
"MAC"																																								"Macao SAR, China"	45047964934.25	25586111076.34	602093	649342	39403.1359073339	1
"MAR"	628.153423	512.4544012	692.4720497	728.5456327	815.3861061	917.2691448	990.5550902	1069.720492	1148.44571	1228.526553	1251.786538	1365.250019	1437.898701	1447.128689	1400.949501	1444.959716	1007.810763	1043.42343	1470.317615	1474.874326	1819.23007	1937.523822	2031.131381	2134.594876	2408.35025	2944.958473	3055.069442	3160.804832	3342.698956	3402.700836	4065.552317	4048.612524	3268.363376	3327.03189	3461.461531	3696.856945	3721.323837	4830.956394	5378.366535	"Morocco"	101179808076.36	114725065285.15	34663608	36910558	3108.19102992564	0
"MCO"																																								"Monaco"	6261622101.41	6816219303.26	37723	39244	173688.189360412	1
"MDA"											0	0	13.3457894	15.35461116	17.41075098	10.61314168	5.990984994	5.09079796	5.961865823	6.978372204	8.246742537	9.378005953	11.96037969	16.44949776	22.71847379	36.8456505	24.90638727	18.33571827	22.96696369	23.87007282	26.71052213	27.56555984	23.05181459	27.43100608	30.92616054	37.40468953	43.00932857	44.53378066	52.29326318	"Moldova"	7745241912.95	11859730543.55	2834530	2620495	4525.75965363414	0
"MDG"		55.05987219	50.86984415	50.56628323	36.66241121	32.90443855	30.24746794	37.94812418	34.70708744	23.10263336	37.83079082	27.58094567	27.17066412	49.44290551	52.54473669	50.44657625	45.03644292	47.21093461	65.03756545	57.74339683	72.51701889	54.47171003	54.01816248	53.91401764	81.93694367	103.2715395	70.98522142	56.92289289	71.98980801	68.6360178	71.87787449	69.67665525	58.93284776	59.39499592	66.90609019	73.25842524	76.57663111	87.35775207	99.18592003	"Madagascar"	11323020828.58	13225591803.62	24234080	27691019	477.613041384284	0
"MDV"																																								"Maldives"	4109424799.72	3742769967.43	454914	540542	6924.10574465999	0
