Id,Label,timeset,indegree,outdegree,Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
marco_marran,marco_marran,,0,1,1,0,1,1,1,0,100
lindbergseb,lindbergseb,,0,1,1,0,1,1,1,0,1
shantyminister,shantyminister,,1,1,2,0.002748,0,0,0,0,177
respectablepen9,respectablepen9,,0,4,4,0,1,1,1,0,8
techmadeit,techmadeit,,0,1,1,0,1,1,1,0,178
samurahh14,samurahh14,,1,0,1,0.000989,0,0,0,0,178
mdadnan2004,mdadnan2004,,0,2,2,0,1,1,1,0,0
fk63596814,fk63596814,,0,1,1,0,1,1,1,0,1
nickala5,nickala5,,0,1,1,0,1,1,1,0,179
r_whitfield,r_whitfield,,1,0,1,0.000989,0,0,0,0,179
aesthusias,aesthusias,,0,1,1,0,1,1,1,0,1
stinxlinx,stinxlinx,,0,1,1,0,1,1,1,0,180
hsussebach,hsussebach,,1,0,1,0.000989,0,0,0,0,180
shafathewiner,shafathewiner,,0,2,2,0,1,1,1,0,0
kolisibigwin_,kolisibigwin_,,0,2,2,0,1,1,1,0,0
news_nocode,news_nocode,,0,1,1,0,1,1,1,0,181
nocode_dc,nocode_dc,,5,1,6,0.013738,0,0,0,0,181
chimakinrui,chimakinrui,,0,1,1,0,1,1,1,0,1
binarikitten,binarikitten,,0,2,2,0,1,1,1,0,187
danrather,danrather,,2,0,2,0.001977,0,0,0,0,187
boco20,boco20,,2,0,2,0.001977,0,0,0,0,187
bitdiots,bitdiots,,0,3,3,0,1,1,1,0,45
nityash37455922,nityash37455922,,0,1,1,0,1,1,1,0,182
delivermytune,delivermytune,,1,0,1,0.000989,0,0,0,0,182
3u711,3u711,,0,1,1,0,1,1,1,0,1
mohandevasi11,mohandevasi11,,0,1,1,0,1,1,1,0,6
dylanginther01,dylanginther01,,1,1,2,0.002748,0,0,0,0,183
mehdi87266059,mehdi87266059,,0,1,1,0,1,1,1,0,35
linuccio5574,linuccio5574,,1,1,2,0.002748,0,0,0,0,184
thepeopleszero,thepeopleszero,,1,1,2,0.002748,0,0,0,0,185
bryanhan65,bryanhan65,,0,1,1,0,1,1,1,0,186
sisunetwork,sisunetwork,,1,0,1,0.000989,0,0,0,0,186
wrightmary123,wrightmary123,,0,1,1,0,1,1,1,0,85
pelosi1350,pelosi1350,,0,2,2,0,1,1,1,0,45
nake_lil_,nake_lil_,,0,2,2,0,1,1,1,0,0
snowfairy29,snowfairy29,,0,2,2,0,1,1,1,0,187
happyboat3,happyboat3,,0,1,1,0,1,1,1,0,117
theessexsog,theessexsog,,0,1,1,0,1,1,1,0,85
srecruit82,srecruit82,,0,1,1,0,1,1,1,0,45
munna_shaheed,munna_shaheed,,0,1,1,0,1,1,1,0,0
jentola,jentola,,0,1,1,0,1,1,1,0,0
solaleh51699853,solaleh51699853,,0,1,1,0,1,1,1,0,35
nomadaenredado,nomadaenredado,,1,1,2,0.002748,0,0,0,0,188
sugandh,sugandh,,0,4,4,0,1,1,1,0,189
aishwarya_1910,aishwarya_1910,,5,0,5,0.013738,0,0,0,0,189
jayesh_ranjan,jayesh_ranjan,,5,3,8,0.013738,1,1,1,1,189
anusha_puppala,anusha_puppala,,5,2,7,0.013738,2,0.75,0.833333,0,189
oxwinaliyand,oxwinaliyand,,0,2,2,0,1,1,1,0,0
willigender,willigender,,0,2,2,0,1,1,1,0,190
argonerd,argonerd,,1,0,1,0.000989,0,0,0,0,190
sabinewoelfle,sabinewoelfle,,1,0,1,0.000989,0,0,0,0,190
matinslance,matinslance,,0,1,1,0,1,1,1,0,191
_vishwajitpatil,_vishwajitpatil,,1,0,1,0.000989,0,0,0,0,191
azarashidashi,azarashidashi,,0,1,1,0,1,1,1,0,1
yacht_tv,yacht_tv,,0,1,1,0,1,1,1,0,192
tribelsocial,tribelsocial,,1,0,1,0.000989,0,0,0,0,192
maederbenluca,maederbenluca,,0,1,1,0,1,1,1,0,0
kingphonky,kingphonky,,0,1,1,0,1,1,1,0,193
state_designs,state_designs,,1,0,1,0.000989,0,0,0,0,193
mom2_k_and_p,mom2_k_and_p,,0,1,1,0,1,1,1,0,1
ninosmaron,ninosmaron,,1,1,2,0.002748,0,0,0,0,194
alinacosmas,alinacosmas,,1,1,2,0.002748,0,0,0,0,195
oo_gh0st,oo_gh0st,,0,1,1,0,1,1,1,0,1
o_g_log,o_g_log,,0,1,1,0,1,1,1,0,196
stratorob,stratorob,,4,1,5,0.010991,0,0,0,0,196
gladeolie,gladeolie,,1,1,2,0.002748,0,0,0,0,197
jb___oo,jb___oo,,0,1,1,0,1,1,1,0,1
daina_shaikh,daina_shaikh,,1,1,2,0.002748,0,0,0,0,198
michellecorry,michellecorry,,0,1,1,0,1,1,1,0,196
pablogomezsolis,pablogomezsolis,,1,1,2,0.002748,0,0,0,0,199
justpattyb,justpattyb,,0,2,2,0,1,1,1,0,0
maraudermag,maraudermag,,2,1,3,0.005495,0,0,0,0,0
gen51104945,gen51104945,,0,1,1,0,1,1,1,0,1
allthisevil,allthisevil,,1,1,2,0.002748,0,0,0,0,200
hajjiadavis,hajjiadavis,,0,1,1,0,1,1,1,0,201
newsclickin,newsclickin,,1,0,1,0.000989,0,0,0,0,201
kheralla30,kheralla30,,2,1,3,0.005495,0,0,0,0,202
ahmad98802409,ahmad98802409,,0,1,1,0,1,1,1,0,202
bagelfish9,bagelfish9,,1,1,2,0.002748,0,0,0,0,203
poyntednews,poyntednews,,0,1,1,0,1,1,1,0,1
elowoman,elowoman,,0,1,1,0,1,1,1,0,204
tadeocazunited,tadeocazunited,,1,0,1,0.000989,0,0,0,0,204
0xdatsun,0xdatsun,,0,2,2,0,1,1,1,0,0
