iso3	interview_id	q86
JOR	400070858	2
JOR	400070978	4
JOR	400070994	2
JOR	400071160	3
JOR	400071195	3
JOR	400070033	2
JOR	400070163	4
JOR	400070183	4
JOR	400070194	4
JOR	400070463	4
JOR	400070471	3
JOR	400070593	4
JOR	400070988	3
JOR	400071041	3
JOR	400071131	2
JOR	400071156	4
JOR	400070150	4
JOR	400070238	2
JOR	400070267	2
JOR	400070537	4
JOR	400070543	4
JOR	400070625	3
JOR	400070762	4
JOR	400070824	4
JOR	400070861	4
JOR	400070939	4
JOR	400070956	4
JOR	400071003	4
JOR	400071143	4
JOR	400071201	4
JOR	400070157	4
JOR	400070272	4
JOR	400070391	4
JOR	400070462	3
JOR	400070464	4
JOR	400070493	4
JOR	400070533	2
JOR	400070550	4
JOR	400070717	4
JOR	400070737	4
JOR	400070763	3
JOR	400070805	4
JOR	400070893	4
JOR	400070941	4
JOR	400070979	3
JOR	400071027	4
JOR	400070147	3
JOR	400070511	3
JOR	400070635	4
JOR	400071065	3
JOR	400071074	4
JOR	400070067	4
JOR	400070481	4
JOR	400070571	4
JOR	400070866	4
JOR	400070882	4
JOR	400070951	4
JOR	400070103	4
JOR	400070252	4
JOR	400070327	4
JOR	400070415	3
JOR	400070584	4
JOR	400070743	1
JOR	400070781	2
JOR	400070793	4
JOR	400070830	1
JOR	400070987	4
JOR	400070996	4
JOR	400070231	1
JOR	400070241	4
JOR	400070254	4
JOR	400070268	4
JOR	400070299	3
JOR	400070456	3
JOR	400070524	4
JOR	400070535	2
JOR	400070565	3
JOR	400070599	1
JOR	400070738	4
JOR	400070820	4
JOR	400071135	4
JOR	400070169	4
JOR	400070172	4
JOR	400070290	4
JOR	400070363	3
JOR	400070431	2
JOR	400070440	4
JOR	400070612	1
JOR	400070621	4
JOR	400070735	3
JOR	400070795	3
JOR	400071008	4
JOR	400071011	3
JOR	400071112	1
JOR	400070002	3
JOR	400070246	4
JOR	400070247	4
JOR	400070323	3
JOR	400070357	3
JOR	400070417	4
JOR	400070470	4
JOR	400070546	4
JOR	400070666	3
JOR	400070703	4
JOR	400070705	4
JOR	400070765	1
JOR	400070839	4
JOR	400070913	3
JOR	400070970	4
JOR	400070981	4
JOR	400071054	4
JOR	400071108	4
JOR	400071158	3
JOR	400070017	4
JOR	400070051	3
JOR	400070071	4
JOR	400070080	4
JOR	400070277	1
JOR	400070308	4
JOR	400070554	3
JOR	400070559	4
JOR	400070579	4
JOR	400070583	4
JOR	400070632	4
JOR	400070729	4
JOR	400070787	4
JOR	400070908	4
JOR	400070977	3
JOR	400071010	4
JOR	400071104	4
JOR	400071142	3
JOR	400070063	4
JOR	400070582	3
JOR	400070816	4
JOR	400070960	3
JOR	400071164	4
JOR	400071174	4
JOR	400070015	4
JOR	400070098	4
JOR	400070107	1
JOR	400070204	4
JOR	400070378	2
JOR	400070383	4
JOR	400070405	4
JOR	400070560	3
JOR	400070578	4
JOR	400070580	4
JOR	400070603	4
JOR	400070658	4
JOR	400070661	4
JOR	400070790	4
JOR	400070909	3
JOR	400070927	4
JOR	400071066	2
JOR	400071186	4
JOR	400070055	4
JOR	400070066	3
JOR	400070115	4
JOR	400070138	4
JOR	400070179	2
JOR	400070242	4
JOR	400070376	4
JOR	400070377	4
JOR	400070482	4
JOR	400070552	2
JOR	400070591	4
JOR	400070610	4
JOR	400070659	3
JOR	400070775	3
JOR	400070788	4
JOR	400070914	4
JOR	400070930	4
JOR	400070982	4
JOR	400071125	4
JOR	400071163	4
JOR	400070156	4
JOR	400070283	4
JOR	400070370	4
JOR	400070400	2
JOR	400070472	3
JOR	400070682	4
JOR	400071157	3
JOR	400070130	2
JOR	400070398	3
JOR	400070418	2
JOR	400070467	4
JOR	400070528	2
JOR	400070672	3
JOR	400070696	4
JOR	400070814	3
JOR	400070842	3
JOR	400070934	4
JOR	400070971	4
JOR	400071162	4
JOR	400070109	4
JOR	400070160	3
JOR	400070279	4
JOR	400070490	1
JOR	400070492	4
JOR	400070568	4
JOR	400070640	2
JOR	400070702	4
JOR	400070887	3
JOR	400070898	4
JOR	400071001	1
JOR	400071095	3
JOR	400071132	4
JOR	400070165	4
JOR	400070250	4
JOR	400070605	3
JOR	400070774	4
JOR	400070946	4
JOR	400071124	2
JOR	400071202	4
JOR	400070037	3
JOR	400070044	3
JOR	400070053	2
JOR	400070095	3
JOR	400070629	4
JOR	400070687	4
